class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type,risk_label,attendance_rate
2nd Year,68.9,92.4,79.7,100.0,59.4,63.2,78.0,69.5,Achievable target,71.2,Fail,True,,Low,87.3
1st Year,65.3,78.3,78.0,96.2,65.6,67.9,76.5,72.7,Achievable target,86.1,Pass,True,,Low,82.4
1st Year,84.0,87.0,81.6,62.2,89.9,86.5,68.7,78.3,Achievable target,70.6,Fail,True,,High,53.0
1st Year,87.8,80.4,75.8,76.0,72.5,74.0,65.5,82.7,Achievable target,80.1,Pass,True,,Medium,72.3
2nd Year,80.9,73.8,63.5,61.1,64.6,59.2,60.9,92.2,Achievable target,73.3,Fail,True,,High,59.8
3rd Year,76.0,73.1,75.9,79.3,66.1,61.1,65.3,85.2,Achievable target,68.4,Fail,True,,High,65.8
2nd Year,90.5,70.3,68.3,79.0,51.9,82.5,71.3,80.2,Achievable target,100.0,Pass,True,,High,57.1
2nd Year,64.2,84.9,53.1,86.5,91.1,80.0,63.4,86.1,Achievable target,100.0,Pass,True,,High,51.5
4th Year,69.1,76.8,86.5,67.9,83.6,68.8,72.0,77.1,Achievable target,83.0,Pass,True,,High,53.3
3rd Year,65.5,67.8,64.0,77.4,86.9,64.0,61.6,89.7,Achievable target,86.5,Pass,True,,High,58.5
2nd Year,71.2,58.5,60.7,78.0,95.0,80.0,54.8,96.4,Achievable target,98.4,Pass,True,,High,69.4
2nd Year,78.0,68.9,82.4,70.6,69.0,58.4,79.1,71.5,Achievable target,85.2,Pass,True,,Medium,68.8
4th Year,62.2,89.9,50.0,82.7,68.0,72.5,66.5,85.7,Achievable target,85.6,Pass,True,,High,48.6
1st Year,68.6,93.2,65.0,65.4,71.9,91.7,62.9,88.2,Achievable target,95.6,Pass,True,,High,50.0
2nd Year,78.2,68.2,55.0,63.3,88.4,70.6,60.4,91.8,Achievable target,96.7,Pass,True,,High,40.2
4th Year,74.3,78.7,70.3,65.7,93.0,60.6,75.2,74.1,Achievable target,73.4,Fail,True,,Medium,73.3
2nd Year,71.2,68.2,86.2,64.9,66.4,72.7,84.6,67.2,Achievable target,66.9,Fail,True,,Low,77.2
3rd Year,73.5,73.4,76.4,97.9,77.3,63.7,67.1,80.5,Achievable target,88.4,Pass,True,,High,47.1
3rd Year,50.0,77.2,73.8,73.9,76.3,54.3,69.0,83.4,Achievable target,78.6,Pass,True,,High,41.2
3rd Year,73.1,72.8,80.6,67.1,62.3,75.7,81.6,70.3,Achievable target,79.8,Pass,True,,Low,78.4
2nd Year,100.0,65.0,74.6,55.9,74.8,79.9,53.4,97.1,Achievable target,97.4,Pass,True,,Medium,75.0
1st Year,62.5,68.2,85.6,78.9,80.1,65.3,90.4,59.6,Achievable target,65.9,Fail,True,,Low,77.4
2nd Year,52.7,94.9,59.5,91.3,85.4,64.7,92.0,57.1,Achievable target,75.9,Pass,True,,Low,75.3
1st Year,80.2,63.4,75.2,67.9,73.7,58.7,50.0,101.5,Cannot pass,59.3,Fail,True,,High,58.4
4th Year,70.5,50.0,86.5,72.5,67.7,67.0,70.1,82.7,Achievable target,96.9,Pass,True,,High,54.3
2nd Year,66.8,77.6,62.9,50.0,78.2,62.8,64.1,89.8,Achievable target,76.9,Pass,True,,High,60.5
3rd Year,79.5,71.1,60.0,74.4,56.3,58.2,68.5,84.9,Achievable target,85.2,Pass,True,,High,62.9
3rd Year,61.4,64.6,83.3,69.2,68.2,87.8,67.0,85.8,Achievable target,91.1,Pass,True,,High,56.9
3rd Year,96.3,77.5,77.4,69.1,66.4,73.3,79.1,69.7,Achievable target,93.9,Pass,True,,Low,77.5
2nd Year,50.0,84.7,78.6,71.3,71.8,74.3,70.0,81.9,Achievable target,67.3,Fail,True,,High,56.0
2nd Year,82.0,55.2,66.5,60.1,94.1,77.5,62.2,89.5,Achievable target,93.5,Pass,True,,High,61.0
4th Year,83.6,50.0,55.7,71.9,67.9,76.4,69.4,85.2,Achievable target,100.0,Pass,True,,High,52.3
3rd Year,57.9,96.2,77.1,79.0,65.3,64.3,76.1,73.9,Achievable target,71.0,Fail,True,,Low,76.8
3rd Year,81.9,68.9,70.1,80.5,54.3,71.3,59.5,92.4,Achievable target,95.3,Pass,True,,High,65.8
4th Year,92.1,75.5,88.4,60.8,62.6,65.8,55.0,94.6,Achievable target,100.0,Pass,True,,High,53.7
3rd Year,59.8,76.3,74.2,68.0,61.5,73.0,90.6,62.9,Achievable target,69.7,Fail,True,,Medium,68.1
1st Year,58.6,72.8,68.0,65.4,91.5,72.0,64.8,87.1,Achievable target,100.0,Pass,True,,High,57.1
3rd Year,72.4,88.3,67.2,76.3,72.8,64.6,69.8,80.0,Achievable target,89.5,Pass,True,,High,65.2
1st Year,53.5,90.1,71.8,82.1,64.6,54.9,67.2,84.1,Achievable target,100.0,Pass,True,,High,59.1
3rd Year,71.5,63.3,87.9,77.0,77.7,70.0,76.5,73.3,Achievable target,74.7,Fail,True,,Low,82.3
4th Year,89.3,86.9,82.4,56.8,65.3,66.4,88.5,60.9,Achievable target,58.5,Fail,True,,Low,87.4
2nd Year,61.7,81.9,75.4,57.1,71.2,50.0,76.8,76.0,Achievable target,78.7,Pass,True,,Medium,84.0
2nd Year,55.9,72.8,54.0,79.6,77.8,73.7,56.2,97.3,Achievable target,90.7,Pass,True,,High,68.1
1st Year,95.7,83.3,68.5,83.0,57.0,78.3,57.5,91.2,Achievable target,100.0,Pass,True,,High,62.4
4th Year,62.1,77.3,50.0,73.0,61.5,94.3,67.2,87.9,Achievable target,89.0,Pass,True,,Low,78.4
1st Year,74.6,60.8,78.4,73.6,89.8,64.5,68.5,81.3,Achievable target,79.6,Pass,True,,High,73.0
1st Year,73.5,64.4,70.5,57.7,78.2,63.0,54.2,98.9,Achievable target,100.0,Pass,True,,High,47.4
1st Year,80.3,100.0,66.1,70.3,66.7,57.2,79.1,70.1,Achievable target,63.7,Fail,True,,Medium,68.4
1st Year,75.9,77.9,72.8,86.1,66.2,70.6,60.5,89.1,Achievable target,100.0,Pass,True,,High,51.4
2nd Year,84.9,79.7,73.3,69.7,100.0,70.6,85.7,61.0,Achievable target,61.2,Fail,True,,Low,92.1
2nd Year,63.8,76.9,64.6,94.3,83.8,60.2,88.9,60.3,Achievable target,76.9,Pass,True,,Low,86.1
2nd Year,65.5,79.4,76.4,67.4,82.3,66.7,68.7,81.7,Achievable target,82.8,Pass,True,,Low,76.9
1st Year,78.0,75.9,72.9,78.4,76.1,50.0,75.4,74.0,Achievable target,85.3,Pass,True,,Medium,72.9
1st Year,74.1,65.9,93.2,61.1,78.4,77.9,59.0,91.2,Achievable target,98.0,Pass,True,,High,61.4
2nd Year,69.7,94.0,62.8,64.8,62.1,60.6,77.2,75.0,Achievable target,87.4,Pass,True,,Medium,68.8
1st Year,77.2,57.3,67.8,50.0,76.2,68.1,66.2,88.4,Achievable target,94.5,Pass,True,,High,47.2
3rd Year,67.5,56.0,86.1,58.1,82.7,53.9,60.4,92.1,Achievable target,80.5,Pass,True,,Low,80.4
1st Year,65.2,92.1,82.2,61.6,62.7,62.6,68.3,82.8,Achievable target,97.9,Pass,True,,High,53.5
2nd Year,80.5,70.3,71.4,88.3,64.6,65.6,66.5,83.5,Achievable target,87.6,Pass,True,,High,57.2
2nd Year,74.5,84.6,82.9,71.5,70.0,68.4,67.9,81.2,Achievable target,94.1,Pass,True,,High,52.8
2nd Year,53.1,61.0,77.1,71.8,74.3,73.4,80.4,73.4,Achievable target,85.3,Pass,True,,Medium,76.1
1st Year,85.6,59.5,70.6,75.6,65.2,83.2,63.4,88.4,Achievable target,85.7,Pass,True,,High,49.4
1st Year,90.1,84.0,76.8,94.4,55.9,76.0,88.1,59.3,Achievable target,55.2,Fail,True,,Low,75.3
4th Year,73.3,77.7,62.7,76.9,60.5,78.3,58.1,94.3,Achievable target,100.0,Pass,True,,High,51.1
1st Year,81.5,85.8,76.6,51.7,62.1,83.3,86.9,64.8,Achievable target,66.8,Fail,True,,Low,90.7
2nd Year,80.0,73.6,50.0,87.9,75.0,74.3,61.1,89.8,Achievable target,100.0,Pass,True,,High,52.4
2nd Year,63.8,85.0,65.5,65.3,77.6,68.1,71.1,80.7,Achievable target,83.9,Pass,True,,High,73.0
2nd Year,94.2,92.4,77.6,78.8,82.7,78.8,66.3,78.6,Achievable target,93.8,Pass,True,,High,60.9
2nd Year,58.7,80.9,64.8,77.1,70.7,79.4,67.7,84.6,Achievable target,93.8,Pass,True,,High,47.7
3rd Year,79.3,74.8,50.0,75.5,80.9,75.1,79.0,72.4,Achievable target,80.3,Pass,True,,Low,79.8
4th Year,78.6,72.2,92.6,77.0,78.5,53.7,85.8,61.8,Achievable target,63.1,Fail,True,,Medium,72.7
1st Year,85.6,77.6,62.9,50.0,67.8,59.9,82.8,70.3,Achievable target,77.6,Pass,True,,Medium,62.8
2nd Year,82.3,69.3,82.8,75.1,88.5,65.7,67.1,80.6,Achievable target,97.5,Pass,True,,High,73.0
1st Year,69.9,78.9,79.3,91.0,53.4,76.5,72.9,77.4,Achievable target,81.9,Pass,True,,High,49.1
2nd Year,68.0,83.3,91.5,76.2,70.0,68.3,63.4,85.2,Achievable target,95.5,Pass,True,,Low,87.4
3rd Year,82.3,83.6,69.2,77.3,87.2,80.1,61.4,86.1,Achievable target,91.6,Pass,True,,High,68.7
1st Year,95.5,82.1,73.9,72.8,79.9,81.9,59.9,87.2,Achievable target,93.4,Pass,True,,High,56.1
2nd Year,72.0,75.6,61.0,88.6,60.1,80.7,66.8,85.0,Achievable target,100.0,Pass,True,,High,49.0
4th Year,68.3,74.5,96.7,68.5,65.6,80.8,73.5,76.6,Achievable target,93.6,Pass,True,,High,54.8
1st Year,67.0,92.8,50.0,61.7,100.0,57.9,52.4,97.9,Achievable target,100.0,Pass,True,,High,59.9
2nd Year,80.3,60.5,72.9,74.2,83.3,73.4,70.6,79.8,Achievable target,86.9,Pass,True,,High,64.0
3rd Year,94.9,77.9,67.1,82.6,65.2,62.3,86.0,62.7,Achievable target,60.7,Fail,True,,Low,84.3
1st Year,61.3,52.8,55.1,62.9,59.6,51.7,82.1,76.2,Achievable target,79.5,Pass,True,,Medium,61.2
1st Year,77.1,59.4,50.0,61.2,67.9,65.6,65.4,90.5,Achievable target,98.6,Pass,True,,High,57.3
1st Year,66.3,91.2,66.2,83.7,73.2,82.0,57.4,92.0,Achievable target,100.0,Pass,True,,High,51.6
4th Year,72.9,63.6,72.7,64.4,75.4,73.2,75.6,77.0,Achievable target,89.5,Pass,True,,Medium,58.0
1st Year,70.6,62.3,85.0,78.4,68.2,89.1,50.0,101.0,Cannot pass,64.4,Fail,True,,High,51.4
1st Year,75.1,72.4,63.2,74.2,66.1,70.3,82.0,70.4,Achievable target,85.2,Pass,True,,Low,76.8
1st Year,62.3,54.4,69.2,80.0,65.3,93.5,69.0,85.4,Achievable target,89.5,Pass,True,,High,61.7
1st Year,100.0,83.8,88.7,82.7,95.1,70.3,89.0,53.5,Achievable target,50.0,Fail,True,,Low,93.7
3rd Year,64.2,50.0,68.2,79.9,75.2,68.7,54.2,99.5,Achievable target,100.0,Pass,True,,High,71.9
1st Year,76.6,88.9,77.9,82.7,62.4,55.5,80.1,68.6,Achievable target,88.2,Pass,True,,Medium,67.0
3rd Year,60.6,92.3,74.6,66.1,66.1,79.8,70.1,81.4,Achievable target,89.0,Pass,True,,High,53.3
3rd Year,65.8,65.1,58.4,55.8,71.1,63.4,67.9,88.0,Achievable target,100.0,Pass,True,,High,62.5
4th Year,66.5,86.4,76.8,76.5,64.7,61.9,57.7,92.7,Achievable target,100.0,Pass,True,,High,65.5
1st Year,72.0,77.6,81.8,72.3,86.0,81.6,76.9,71.6,Achievable target,90.6,Pass,True,,Low,81.9
4th Year,73.5,82.7,67.7,52.2,76.5,80.3,77.7,74.5,Achievable target,86.8,Pass,True,,Low,83.3
3rd Year,81.9,80.1,78.3,69.3,64.0,80.0,88.6,61.5,Achievable target,53.2,Fail,True,,Low,95.0
1st Year,79.9,78.4,66.8,86.4,63.1,64.8,81.0,69.0,Achievable target,94.1,Pass,True,,Low,83.5
3rd Year,66.6,92.5,83.6,69.2,76.8,68.0,65.3,83.3,Achievable target,99.0,Pass,True,,High,53.1
4th Year,75.2,50.0,62.8,72.8,69.2,67.9,61.3,93.2,Achievable target,93.1,Pass,True,,High,58.0
1st Year,76.3,86.6,69.6,61.0,77.2,76.5,57.7,92.7,Achievable target,87.4,Pass,True,,High,61.6
4th Year,69.6,71.6,70.0,99.6,50.0,84.3,85.5,65.9,Achievable target,75.9,Pass,True,,Low,78.9
2nd Year,68.9,73.4,64.3,83.9,82.9,72.3,63.5,86.7,Achievable target,88.9,Pass,True,,High,55.0
3rd Year,72.8,70.2,72.1,72.2,72.5,88.6,85.6,65.9,Achievable target,74.2,Fail,True,,Low,78.2
4th Year,71.2,76.4,82.2,59.0,61.1,77.7,76.2,76.3,Achievable target,88.7,Pass,True,,Medium,69.1
2nd Year,52.9,83.5,76.3,79.3,56.7,66.1,74.3,78.3,Achievable target,77.6,Pass,True,,High,72.0
3rd Year,94.3,66.3,75.4,83.4,61.9,77.0,68.1,81.3,Achievable target,75.1,Pass,True,,Medium,76.2
2nd Year,67.0,75.5,100.0,76.9,92.2,85.9,77.6,68.7,Achievable target,77.6,Pass,True,,Low,83.5
3rd Year,87.5,77.7,61.8,85.8,55.9,88.9,70.9,79.7,Achievable target,79.4,Pass,True,,High,49.5
3rd Year,92.1,75.7,50.0,69.4,81.1,80.6,67.5,83.2,Achievable target,89.7,Pass,True,,High,54.5
1st Year,70.6,81.8,63.5,58.1,72.6,68.8,77.9,74.9,Achievable target,66.5,Fail,True,,Medium,78.4
2nd Year,73.8,69.3,87.8,63.5,77.1,66.3,69.7,80.6,Achievable target,83.1,Pass,True,,High,52.5
2nd Year,74.2,55.2,58.0,73.5,96.6,74.4,63.3,88.4,Achievable target,100.0,Pass,True,,High,68.6
1st Year,80.2,53.2,50.0,82.0,72.3,85.6,77.0,76.7,Achievable target,87.8,Pass,True,,Medium,61.4
1st Year,86.8,63.1,77.5,83.3,68.2,72.9,70.5,79.1,Achievable target,76.2,Pass,True,,High,54.7
2nd Year,68.4,73.7,79.7,73.2,84.8,73.1,75.9,73.6,Achievable target,66.9,Fail,True,,Low,92.7
1st Year,68.0,57.9,96.5,66.3,66.7,69.0,66.7,85.3,Achievable target,90.5,Pass,True,,High,40.9
1st Year,72.6,74.2,68.9,73.2,72.9,65.2,59.3,92.0,Achievable target,100.0,Pass,True,,High,66.5
3rd Year,75.4,50.0,95.4,71.7,80.2,66.8,88.1,62.1,Achievable target,71.2,Fail,True,,Low,75.0
3rd Year,57.3,67.9,65.5,90.6,66.5,69.9,86.3,66.4,Achievable target,66.3,Fail,True,,Medium,70.4
3rd Year,82.3,65.8,68.1,70.5,88.4,86.0,79.8,70.2,Achievable target,78.2,Pass,True,,Low,83.1
2nd Year,51.3,58.0,50.6,60.7,63.9,66.1,67.3,91.7,Achievable target,100.0,Pass,True,,High,63.6
4th Year,54.5,64.8,50.0,61.5,87.4,69.0,68.2,87.5,Achievable target,94.6,Pass,True,,Medium,58.0
3rd Year,78.1,75.6,61.7,55.4,60.1,59.7,84.6,69.8,Achievable target,58.5,Fail,True,,Medium,58.0
1st Year,72.9,83.6,84.0,80.8,64.8,75.8,67.6,81.3,Achievable target,88.3,Pass,True,,High,52.5
1st Year,73.7,69.6,71.0,97.2,52.8,82.4,64.9,86.2,Achievable target,100.0,Pass,True,,High,57.3
3rd Year,70.7,87.6,56.2,65.9,67.2,85.1,89.4,63.3,Achievable target,55.4,Fail,True,,Medium,64.7
1st Year,70.8,54.7,80.4,81.2,79.3,70.6,70.6,80.3,Achievable target,85.6,Pass,True,,High,55.2
2nd Year,63.2,74.4,62.9,69.5,98.6,74.4,88.4,62.2,Achievable target,64.9,Fail,True,,Medium,62.7
4th Year,74.5,59.5,75.5,57.6,59.4,66.9,57.4,97.4,Achievable target,100.0,Pass,True,,High,53.8
1st Year,61.2,68.2,84.4,80.2,79.5,73.9,76.2,73.9,Achievable target,80.8,Pass,True,,Low,79.8
1st Year,60.5,67.1,76.6,66.0,70.1,71.7,91.4,62.1,Achievable target,78.5,Pass,True,,Medium,72.7
4th Year,78.6,69.3,76.0,92.0,71.4,69.1,71.4,77.4,Achievable target,83.2,Pass,True,,High,61.7
3rd Year,87.2,79.9,56.2,60.5,63.6,69.9,68.5,84.3,Achievable target,100.0,Pass,True,,High,68.5
1st Year,63.4,72.3,80.6,88.1,77.0,73.1,59.7,89.7,Achievable target,93.5,Pass,True,,High,51.7
4th Year,68.2,50.0,74.2,73.7,75.5,65.5,81.7,71.6,Achievable target,73.1,Fail,True,,High,54.5
4th Year,98.0,87.9,82.6,62.1,67.4,66.0,63.6,84.1,Achievable target,82.4,Pass,True,,High,57.4
2nd Year,72.3,64.3,79.3,77.6,60.7,85.9,70.2,81.9,Achievable target,68.7,Fail,True,,High,54.6
3rd Year,87.4,74.6,53.2,72.8,76.7,95.0,59.0,92.0,Achievable target,99.8,Pass,True,,High,56.6
1st Year,84.8,69.5,83.1,75.6,58.0,56.2,86.4,64.0,Achievable target,89.5,Pass,True,,Low,76.2
1st Year,56.8,86.5,87.4,77.2,90.9,55.7,82.4,65.2,Achievable target,74.8,Fail,True,,Medium,73.6
3rd Year,85.8,81.4,62.7,93.7,79.7,58.7,70.8,76.4,Achievable target,88.3,Pass,True,,Medium,64.6
2nd Year,68.9,65.6,76.4,53.8,81.6,67.4,59.8,93.1,Achievable target,94.0,Pass,True,,High,49.3
3rd Year,62.2,77.7,67.3,70.3,64.5,77.6,86.2,67.1,Achievable target,69.7,Fail,True,,Medium,59.9
4th Year,71.5,95.5,89.6,77.5,73.1,74.5,67.5,79.3,Achievable target,94.1,Pass,True,,High,66.3
1st Year,83.3,86.6,63.7,72.5,52.1,70.3,60.3,91.4,Achievable target,100.0,Pass,True,,High,55.9
3rd Year,86.5,97.6,74.3,50.0,80.5,73.9,53.8,94.8,Achievable target,100.0,Pass,True,,High,66.2
1st Year,62.8,65.6,80.7,76.4,67.7,61.4,64.8,87.4,Achievable target,100.0,Pass,True,,High,59.2
4th Year,65.8,74.9,68.6,60.4,69.5,66.0,56.8,96.8,Achievable target,100.0,Pass,True,,High,43.4
1st Year,77.4,71.3,56.9,85.0,50.0,68.3,65.0,88.4,Achievable target,95.5,Pass,True,,High,48.3
3rd Year,68.2,66.1,75.1,80.0,86.6,52.3,78.4,71.5,Achievable target,69.0,Fail,True,,High,63.1
2nd Year,65.1,80.3,75.7,53.4,95.6,56.7,67.4,83.1,Achievable target,73.6,Fail,True,,High,50.9
2nd Year,56.6,78.3,78.0,76.6,67.6,57.1,74.6,77.2,Achievable target,70.9,Fail,True,,High,48.3
3rd Year,83.1,55.1,72.6,66.8,65.5,76.3,64.0,89.2,Achievable target,94.7,Pass,True,,High,55.6
3rd Year,78.4,86.0,69.4,82.5,74.0,71.0,71.7,76.8,Achievable target,78.9,Pass,True,,Low,83.1
3rd Year,63.0,70.4,69.9,65.2,78.4,74.7,89.9,62.9,Achievable target,53.2,Fail,True,,Medium,63.9
3rd Year,76.1,54.8,54.1,78.4,63.9,50.0,67.7,87.1,Achievable target,91.7,Pass,True,,High,54.4
4th Year,76.9,82.5,58.5,56.9,93.0,53.4,74.9,75.8,Achievable target,77.6,Pass,True,,High,53.2
2nd Year,77.5,68.5,62.5,67.4,59.5,75.3,55.8,98.2,Achievable target,91.5,Pass,True,,High,40.0
2nd Year,83.7,64.3,86.2,68.7,61.2,50.0,86.0,65.1,Achievable target,66.4,Fail,True,,Medium,74.5
1st Year,68.4,50.0,72.0,71.4,83.0,81.0,66.4,86.6,Achievable target,88.4,Pass,True,,High,50.5
3rd Year,51.3,87.0,83.0,88.0,72.8,50.0,81.4,67.9,Achievable target,66.7,Fail,True,,Medium,80.1
2nd Year,85.3,56.2,81.7,64.4,54.1,77.1,69.9,83.4,Achievable target,97.7,Pass,True,,High,47.8
2nd Year,60.2,73.5,63.8,77.8,52.2,59.4,77.1,77.6,Achievable target,63.6,Fail,True,,Medium,59.9
1st Year,50.0,89.5,84.0,61.1,73.4,79.2,77.7,74.0,Achievable target,59.1,Fail,True,,Low,89.9
4th Year,85.3,78.3,75.1,86.2,64.9,95.0,66.7,81.8,Achievable target,86.8,Pass,True,,High,44.3
2nd Year,73.8,73.2,70.2,68.8,74.3,50.0,81.8,69.7,Achievable target,75.7,Pass,True,,Medium,66.5
3rd Year,73.8,61.1,82.8,62.0,70.8,75.6,63.7,88.8,Achievable target,97.8,Pass,True,,High,61.8
1st Year,69.9,77.6,50.0,83.8,65.5,50.1,78.7,74.1,Achievable target,73.7,Fail,True,,Low,82.4
4th Year,87.7,67.8,72.8,95.8,70.2,72.9,67.3,80.8,Achievable target,76.6,Pass,True,,High,43.8
1st Year,87.9,73.9,78.3,74.2,83.3,66.4,74.5,73.2,Achievable target,78.1,Pass,True,,High,58.5
1st Year,65.4,61.9,65.9,74.6,70.8,69.8,66.6,87.0,Achievable target,87.6,Pass,True,,High,55.4
4th Year,81.7,88.7,62.0,64.8,56.6,59.2,71.6,80.5,Achievable target,100.0,Pass,True,,Low,90.4
4th Year,97.2,77.0,79.0,57.7,73.4,76.5,60.6,88.5,Achievable target,90.3,Pass,True,,Low,86.9
1st Year,79.4,70.4,86.0,100.0,62.3,53.7,73.5,74.2,Achievable target,78.7,Pass,True,,Low,96.0
2nd Year,61.4,63.1,92.2,85.6,71.8,81.2,71.5,78.6,Achievable target,100.0,Pass,True,,High,43.8
