class_standing,task_score_1,task_score_2,task_score_3,task_score_4,task_score_5,prelim_grade,midterm_grade,min_exam_score_required,predicted_category,actual_exam_score,actual_outcome,prediction_correct,error_type
3rd Year,79.1,95.9,64.9,65.4,81.4,74.4,75.2,67.4,Achievable target,51.6,Fail,False,Overperformance
3rd Year,65.1,86.5,83.6,64.3,60.4,86.0,88.7,70.5,Achievable target,56.4,Fail,False,Overperformance
1st Year,76.4,66.6,68.3,61.8,61.1,80.1,85.6,65.3,Achievable target,88.7,Pass,True,None
2nd Year,75.2,81.3,74.4,70.5,80.5,81.0,85.5,61.9,Achievable target,65.7,Pass,True,None
3rd Year,68.0,60.8,78.6,64.7,78.7,67.2,65.8,99.3,Cannot pass,99.4,Pass,False,Underperformance
3rd Year,71.4,75.5,66.5,82.9,98.6,85.0,83.8,70.6,Achievable target,89.6,Pass,True,None
2nd Year,78.5,76.2,83.8,80.8,61.5,72.4,77.9,83.0,Borderline,57.1,Fail,True,None
2nd Year,60.4,76.8,64.0,80.8,84.9,74.1,83.7,66.8,Achievable target,80.7,Pass,True,None
2nd Year,61.0,72.5,87.1,98.3,75.9,89.3,72.2,67.2,Achievable target,69.7,Pass,True,None
2nd Year,70.5,83.4,95.9,76.0,68.8,74.9,81.2,73.9,Achievable target,87.2,Pass,True,None
1st Year,64.8,83.5,96.5,86.2,67.6,72.6,84.9,66.9,Achievable target,65.5,Fail,False,Overperformance
3rd Year,69.8,76.5,87.3,67.2,67.0,77.2,78.6,64.6,Achievable target,78.1,Pass,True,None
3rd Year,71.3,72.1,60.6,79.5,79.9,60.1,62.1,94.9,Cannot pass,77.5,Fail,True,None
4th Year,95.4,86.2,93.3,84.6,97.6,81.7,84.5,56.7,Achievable target,86.6,Pass,True,None
2nd Year,77.2,76.9,73.1,69.8,76.4,76.4,72.7,84.2,Borderline,69.0,Fail,True,None
1st Year,77.4,70.9,79.4,75.6,61.7,69.7,61.7,91.0,Cannot pass,62.8,Fail,True,None
3rd Year,67.3,61.8,63.6,75.4,65.2,61.9,63.4,94.8,Cannot pass,61.4,Fail,True,None
1st Year,78.1,69.4,68.7,77.0,75.1,74.1,87.9,53.8,Achievable target,92.7,Pass,True,None
1st Year,87.4,74.1,89.0,70.1,61.4,78.2,80.5,64.9,Achievable target,66.9,Pass,True,None
1st Year,67.4,65.3,78.1,76.0,75.8,63.3,66.0,98.6,Cannot pass,97.4,Fail,True,None
3rd Year,81.5,61.5,86.3,76.9,80.6,72.3,73.4,60.1,Achievable target,60.9,Pass,True,None
2nd Year,93.0,75.9,64.1,80.5,86.5,79.3,83.5,70.2,Achievable target,81.4,Pass,True,None
3rd Year,92.8,90.3,93.7,62.6,78.8,76.5,88.0,52.9,Achievable target,93.4,Pass,True,None
4th Year,87.7,85.0,96.1,88.8,61.7,73.1,73.6,58.7,Achievable target,88.4,Pass,True,None
4th Year,62.5,70.3,62.0,70.0,61.0,70.5,66.8,95.5,Cannot pass,51.0,Fail,True,None
1st Year,86.3,64.7,94.5,87.8,60.2,85.1,74.1,60.7,Achievable target,53.3,Fail,False,Overperformance
4th Year,65.5,81.7,92.0,94.5,72.4,80.8,74.1,66.9,Achievable target,84.2,Pass,True,None
3rd Year,62.6,99.5,85.6,94.5,70.4,76.0,72.2,67.1,Achievable target,96.5,Pass,True,None
2nd Year,75.0,60.2,68.8,70.5,60.1,64.6,62.1,93.2,Cannot pass,93.8,Pass,False,Underperformance
4th Year,99.9,92.4,98.7,99.5,86.7,73.5,84.3,67.0,Achievable target,85.1,Pass,True,None
2nd Year,67.7,70.8,64.2,74.0,66.9,60.4,70.0,98.1,Cannot pass,99.6,Pass,False,Underperformance
2nd Year,63.9,68.0,78.0,89.3,69.5,65.2,70.4,78.1,Borderline,50.5,Fail,True,None
2nd Year,62.5,74.5,75.8,60.7,64.7,63.7,66.6,94.5,Cannot pass,83.9,Fail,True,None
2nd Year,73.8,70.0,80.3,81.1,67.7,67.4,71.1,85.5,Borderline,50.8,Fail,True,None
2nd Year,97.4,69.0,97.9,80.8,71.4,76.1,73.2,51.9,Achievable target,61.3,Pass,True,None
2nd Year,78.3,71.4,76.5,71.2,77.9,71.6,65.2,92.1,Cannot pass,80.4,Fail,True,None
4th Year,91.3,76.2,67.9,72.1,61.5,83.9,87.8,58.0,Achievable target,88.5,Pass,True,None
1st Year,67.1,93.1,84.1,61.1,68.0,73.4,83.5,71.9,Achievable target,82.7,Pass,True,None
3rd Year,93.3,73.1,78.1,69.3,97.7,88.5,77.9,53.3,Achievable target,89.3,Pass,True,None
4th Year,66.9,96.5,73.7,74.2,90.9,80.5,76.3,67.3,Achievable target,88.3,Pass,True,None
4th Year,88.5,98.4,93.3,86.9,89.4,72.6,75.9,69.1,Achievable target,93.8,Pass,True,None
4th Year,98.3,64.4,71.0,87.9,79.9,88.0,75.8,71.0,Achievable target,86.1,Pass,True,None
4th Year,77.5,71.1,76.6,78.4,70.0,70.0,68.2,97.1,Cannot pass,69.9,Fail,True,None
1st Year,63.0,92.7,61.9,60.3,65.5,80.5,86.8,65.1,Achievable target,67.5,Pass,True,None
3rd Year,63.2,86.5,88.8,82.9,69.5,69.2,69.7,82.5,Borderline,89.4,Pass,True,None
1st Year,83.3,80.9,97.4,68.2,88.6,82.4,78.4,55.7,Achievable target,73.2,Pass,True,None
3rd Year,78.9,66.2,73.6,78.9,77.3,65.5,70.5,97.5,Cannot pass,99.3,Pass,False,Underperformance
4th Year,90.0,94.9,71.6,61.5,71.9,85.8,73.7,64.5,Achievable target,97.5,Pass,True,None
3rd Year,77.0,79.3,62.4,67.5,72.4,68.4,65.5,90.4,Cannot pass,51.9,Fail,True,None
1st Year,94.4,95.7,87.8,97.2,84.9,72.7,86.1,60.9,Achievable target,77.5,Pass,True,None
4th Year,60.3,95.3,77.6,69.2,80.6,85.9,87.7,56.7,Achievable target,63.2,Pass,True,None
2nd Year,62.9,87.5,89.6,81.3,76.1,75.3,72.5,76.5,Borderline,95.9,Pass,False,Ambiguity
3rd Year,81.3,80.1,66.7,97.7,66.2,72.5,76.1,65.8,Achievable target,90.4,Pass,True,None
2nd Year,85.8,71.4,77.4,73.4,92.2,83.4,70.9,68.2,Achievable target,69.6,Pass,True,None
2nd Year,67.8,76.6,77.2,75.7,68.5,61.1,67.1,97.5,Cannot pass,64.3,Fail,True,None
2nd Year,75.8,92.7,91.3,81.2,62.6,78.1,84.0,70.1,Achievable target,60.8,Fail,False,Overperformance
4th Year,89.1,75.2,77.3,75.5,64.9,72.7,66.6,77.9,Borderline,76.2,Fail,True,None
3rd Year,98.3,61.6,61.2,69.9,93.6,74.5,71.4,64.9,Achievable target,73.3,Pass,True,None
3rd Year,74.6,80.0,68.4,88.0,74.9,79.4,82.3,70.5,Achievable target,78.7,Pass,True,None
1st Year,86.2,87.4,61.4,71.3,78.0,76.6,65.4,82.4,Borderline,85.2,Pass,True,None
3rd Year,99.5,62.8,95.4,99.7,65.0,77.7,76.2,72.4,Achievable target,76.9,Pass,True,None
3rd Year,76.7,72.8,61.9,61.6,62.1,75.6,77.0,67.9,Achievable target,53.8,Fail,False,Overperformance
3rd Year,78.6,64.8,61.7,71.4,60.9,62.3,62.4,99.9,Cannot pass,74.1,Fail,True,None
2nd Year,77.3,92.3,72.4,87.4,65.3,72.4,79.8,66.0,Achievable target,94.3,Pass,True,None
2nd Year,62.9,89.4,79.6,60.8,96.3,84.8,74.7,64.8,Achievable target,73.3,Pass,True,None
4th Year,78.6,75.0,76.1,71.1,79.0,70.4,69.4,99.3,Cannot pass,64.1,Fail,True,None
2nd Year,89.1,90.6,95.2,76.6,76.5,76.4,87.6,60.6,Achievable target,97.4,Pass,True,None
1st Year,74.9,64.4,61.5,63.1,66.7,71.6,69.6,94.6,Cannot pass,82.7,Fail,True,None
2nd Year,96.4,63.4,83.9,81.7,70.3,75.1,85.3,50.1,Achievable target,87.2,Pass,True,None
3rd Year,61.3,97.2,72.6,98.5,83.5,88.0,81.3,68.1,Achievable target,90.8,Pass,True,None
4th Year,73.3,69.5,89.8,96.8,95.9,70.8,87.8,50.5,Achievable target,91.0,Pass,True,None
2nd Year,68.6,64.1,61.8,78.4,67.6,66.9,68.3,91.2,Cannot pass,61.3,Fail,True,None
2nd Year,96.0,72.7,78.0,84.7,72.2,72.0,82.4,64.0,Achievable target,84.4,Pass,True,None
1st Year,86.5,84.6,90.6,81.7,61.7,88.4,83.5,61.6,Achievable target,85.4,Pass,True,None
2nd Year,88.0,64.2,99.7,61.2,97.2,73.4,88.9,57.8,Achievable target,53.0,Fail,False,Overperformance
3rd Year,62.7,60.7,96.5,78.0,80.4,89.6,83.3,67.8,Achievable target,84.0,Pass,True,None
2nd Year,80.9,76.5,97.5,84.4,61.5,74.1,82.8,54.3,Achievable target,77.1,Pass,True,None
1st Year,97.9,75.6,73.8,89.7,98.7,87.9,73.4,62.8,Achievable target,57.6,Fail,False,Overperformance
1st Year,72.3,92.9,79.6,81.2,88.0,73.5,84.6,70.8,Achievable target,61.4,Fail,False,Overperformance
4th Year,63.1,72.4,70.9,79.4,71.4,60.1,69.2,90.4,Cannot pass,79.6,Fail,True,None
2nd Year,65.0,62.6,61.2,69.4,79.4,71.6,71.7,68.3,Achievable target,50.2,Fail,False,Overperformance
4th Year,84.1,79.5,84.7,99.0,74.4,87.4,89.3,66.2,Achievable target,89.5,Pass,True,None
1st Year,64.0,93.3,65.5,86.2,95.4,73.5,75.2,58.1,Achievable target,66.9,Pass,True,None
1st Year,63.7,60.6,73.2,69.1,65.3,62.9,70.7,99.3,Cannot pass,54.1,Fail,True,None
2nd Year,79.8,60.1,69.7,73.8,62.3,63.6,63.7,90.1,Cannot pass,74.2,Fail,True,None
2nd Year,88.9,85.7,74.5,73.2,76.7,66.9,68.9,89.0,Borderline,57.5,Fail,False,Ambiguity
3rd Year,60.1,77.1,86.9,86.0,94.2,83.6,87.7,57.8,Achievable target,93.4,Pass,True,None
4th Year,71.5,78.2,66.6,76.0,79.5,63.8,62.3,92.4,Cannot pass,63.3,Fail,True,None
1st Year,66.0,66.3,66.9,61.6,75.5,70.0,65.0,95.0,Cannot pass,52.1,Fail,True,None
4th Year,79.6,66.7,91.8,66.8,88.8,89.3,82.8,61.7,Achievable target,96.8,Pass,True,None
2nd Year,67.8,73.5,87.6,67.2,81.9,84.7,81.8,66.1,Achievable target,94.3,Pass,True,None
3rd Year,80.7,86.3,65.8,69.5,92.8,75.8,89.4,63.4,Achievable target,65.4,Pass,True,None
2nd Year,78.9,77.6,74.6,68.6,65.6,71.4,60.5,98.8,Cannot pass,65.3,Fail,True,None
1st Year,76.0,86.2,71.5,98.5,62.3,84.5,88.6,68.6,Achievable target,74.1,Pass,True,None
1st Year,62.5,95.7,76.7,78.9,79.8,78.4,76.3,72.5,Achievable target,82.0,Pass,True,None
2nd Year,76.1,98.6,75.3,61.5,68.0,82.3,82.7,59.0,Achievable target,59.6,Pass,True,None
1st Year,89.8,60.8,66.7,80.9,66.6,68.2,67.0,87.3,Borderline,92.9,Pass,False,Ambiguity
3rd Year,78.0,67.0,73.1,84.7,76.2,71.8,75.0,83.5,Borderline,86.0,Pass,False,Ambiguity
3rd Year,94.7,86.0,69.2,75.2,99.1,87.3,70.4,52.4,Achievable target,67.4,Pass,True,None
4th Year,60.1,82.9,83.7,60.4,97.1,82.1,74.1,62.3,Achievable target,56.1,Fail,False,Overperformance
1st Year,86.2,97.1,93.3,78.7,85.6,70.3,88.4,58.7,Achievable target,89.4,Pass,True,None
1st Year,89.2,83.1,63.1,62.2,90.8,81.9,76.0,58.4,Achievable target,92.4,Pass,True,None
4th Year,88.5,81.0,79.3,98.2,79.0,80.4,73.6,63.9,Achievable target,86.9,Pass,True,None
3rd Year,64.5,78.0,60.9,68.4,81.5,70.3,83.9,54.9,Achievable target,78.5,Pass,True,None
2nd Year,73.0,80.4,91.0,77.9,63.1,89.6,75.7,64.7,Achievable target,81.1,Pass,True,None
1st Year,78.9,62.2,90.8,81.0,99.8,71.9,88.7,52.5,Achievable target,81.9,Pass,True,None
2nd Year,72.6,98.2,80.7,60.4,93.3,83.5,74.6,56.0,Achievable target,60.1,Pass,True,None
4th Year,86.7,89.8,64.6,69.9,65.5,75.6,71.1,83.1,Borderline,65.0,Fail,True,None
2nd Year,72.9,64.6,74.1,79.2,82.8,80.1,83.9,66.0,Achievable target,80.2,Pass,True,None
1st Year,97.6,87.6,91.6,69.6,82.1,86.8,83.2,57.4,Achievable target,98.2,Pass,True,None
1st Year,62.6,63.8,87.1,71.4,88.9,85.8,82.9,65.8,Achievable target,96.8,Pass,True,None
2nd Year,81.6,82.4,89.9,72.2,78.6,72.6,68.4,77.4,Borderline,85.2,Pass,True,None
4th Year,74.4,95.8,81.5,85.5,63.4,80.9,85.8,68.5,Achievable target,89.2,Pass,True,None
4th Year,73.6,73.5,88.8,76.2,68.5,89.3,70.3,65.7,Achievable target,83.6,Pass,True,None
4th Year,80.0,66.8,67.8,89.6,86.9,72.2,75.5,64.5,Achievable target,70.7,Pass,True,None
2nd Year,79.1,81.6,80.1,75.7,87.5,71.1,86.0,54.2,Achievable target,98.9,Pass,True,None
2nd Year,90.3,94.1,64.5,62.2,98.0,74.0,77.5,72.2,Achievable target,96.4,Pass,True,None
2nd Year,80.7,62.0,70.0,93.9,78.3,73.5,89.2,69.2,Achievable target,89.8,Pass,True,None
1st Year,78.9,65.1,72.5,72.1,64.1,68.7,68.3,94.5,Cannot pass,64.4,Fail,True,None
3rd Year,87.9,63.9,86.7,92.3,76.6,81.3,73.0,68.2,Achievable target,75.4,Pass,True,None
2nd Year,87.2,66.7,62.3,74.2,79.0,77.5,89.7,72.7,Achievable target,52.7,Fail,False,Overperformance
4th Year,67.7,93.7,92.7,93.1,64.9,71.4,79.4,68.4,Achievable target,76.3,Pass,True,None
3rd Year,64.9,68.5,63.5,79.1,73.2,65.0,65.4,93.5,Cannot pass,67.3,Fail,True,None
3rd Year,92.9,91.3,76.2,76.2,83.2,70.2,76.0,65.7,Achievable target,81.9,Pass,True,None
4th Year,77.3,60.7,86.9,81.4,85.7,77.8,82.6,64.8,Achievable target,91.4,Pass,True,None
3rd Year,64.9,64.3,67.4,62.9,66.3,65.2,62.2,90.2,Cannot pass,77.6,Fail,True,None
1st Year,64.9,71.7,77.4,64.4,63.9,71.4,67.5,94.8,Cannot pass,71.7,Fail,True,None
3rd Year,61.1,78.0,74.1,72.4,65.6,68.4,66.0,92.1,Cannot pass,55.8,Fail,True,None
4th Year,97.3,91.8,70.9,64.9,87.1,76.3,77.0,59.1,Achievable target,99.2,Pass,True,None
1st Year,88.8,81.2,67.5,89.6,77.6,75.2,70.1,75.8,Borderline,51.4,Fail,True,None
4th Year,99.8,71.3,87.1,76.7,76.3,87.1,82.0,53.5,Achievable target,67.0,Pass,True,None
1st Year,60.8,79.1,73.3,84.6,92.3,71.1,82.0,58.2,Achievable target,65.6,Pass,True,None
4th Year,98.9,79.8,79.9,97.0,80.8,87.9,77.7,69.2,Achievable target,91.6,Pass,True,None
2nd Year,72.5,66.3,61.7,68.3,69.0,65.3,66.1,98.8,Cannot pass,98.3,Fail,True,None
2nd Year,83.9,90.9,85.0,93.7,72.0,70.8,88.6,69.0,Achievable target,86.1,Pass,True,None
1st Year,88.0,96.2,83.0,80.6,97.6,83.3,75.3,61.8,Achievable target,78.5,Pass,True,None
1st Year,70.9,62.1,77.7,68.3,60.0,60.3,60.5,92.3,Cannot pass,59.6,Fail,True,None
1st Year,71.7,69.8,65.0,62.2,76.4,67.1,71.6,95.7,Cannot pass,95.2,Fail,True,None
4th Year,75.4,65.2,79.2,69.3,79.9,65.1,68.6,92.5,Cannot pass,88.5,Fail,True,None
1st Year,73.1,87.9,66.1,86.9,99.9,76.4,81.3,73.3,Achievable target,93.4,Pass,True,None
4th Year,69.0,68.1,97.8,92.5,70.6,86.5,79.9,67.9,Achievable target,80.2,Pass,True,None
4th Year,86.0,68.4,81.7,68.3,67.6,70.5,73.3,82.1,Borderline,63.4,Fail,False,Ambiguity
1st Year,71.9,63.5,68.7,77.5,76.1,70.7,71.0,91.5,Cannot pass,81.8,Fail,True,None
3rd Year,89.2,67.5,73.4,61.4,73.7,75.6,69.5,88.9,Borderline,60.2,Fail,False,Ambiguity
2nd Year,76.6,73.4,82.4,85.5,60.5,86.0,90.0,54.8,Achievable target,67.5,Pass,True,None
1st Year,77.9,82.9,60.2,73.6,69.4,85.1,88.8,67.9,Achievable target,86.6,Pass,True,None
2nd Year,65.6,72.6,78.0,62.1,74.4,81.1,79.8,50.2,Achievable target,57.0,Pass,True,None
1st Year,66.9,88.4,75.9,71.2,63.0,75.4,69.7,77.3,Borderline,91.7,Pass,True,None
1st Year,80.7,99.7,72.1,72.0,68.9,89.7,81.9,70.5,Achievable target,71.1,Pass,True,None
1st Year,68.6,69.5,61.1,77.4,79.1,71.2,64.3,96.9,Cannot pass,62.6,Fail,True,None
3rd Year,61.2,64.1,76.3,66.6,75.1,62.4,70.7,99.1,Cannot pass,53.1,Fail,True,None
4th Year,76.1,82.4,91.2,94.9,83.4,71.6,83.5,65.3,Achievable target,99.9,Pass,True,None
2nd Year,73.2,68.2,62.2,64.8,81.7,75.4,73.0,88.2,Borderline,95.2,Pass,True,None
3rd Year,66.1,64.9,89.7,67.0,87.6,77.1,73.6,85.8,Borderline,51.0,Fail,True,None
4th Year,97.1,61.6,74.3,88.4,79.4,78.7,89.9,61.8,Achievable target,94.1,Pass,True,None
2nd Year,66.7,97.0,88.5,71.4,98.9,77.1,79.1,70.1,Achievable target,90.8,Pass,True,None
1st Year,93.1,61.7,99.8,80.7,75.8,80.4,79.0,67.6,Achievable target,85.7,Pass,True,None
4th Year,97.0,69.2,85.4,63.5,72.2,80.4,84.4,68.5,Achievable target,65.6,Fail,False,Overperformance
3rd Year,98.8,86.2,98.0,73.0,89.3,81.9,70.1,67.6,Achievable target,98.6,Pass,True,None
4th Year,65.4,61.7,61.5,74.4,75.2,61.6,68.9,94.2,Cannot pass,50.7,Fail,True,None
1st Year,72.9,98.8,76.2,80.6,99.5,79.1,76.3,65.8,Achievable target,84.4,Pass,True,None
4th Year,73.1,69.4,65.8,61.9,79.3,62.4,63.2,95.7,Cannot pass,72.0,Fail,True,None
1st Year,82.4,62.7,88.4,68.2,99.3,77.3,73.5,55.7,Achievable target,60.7,Pass,True,None
3rd Year,72.2,62.5,71.4,66.4,65.3,69.4,69.7,91.9,Cannot pass,69.3,Fail,True,None
3rd Year,69.4,68.4,95.6,96.6,85.3,71.8,86.5,71.1,Achievable target,93.3,Pass,True,None
1st Year,74.4,76.3,61.5,62.5,63.6,71.9,60.2,90.5,Cannot pass,64.1,Fail,True,None
2nd Year,91.4,74.6,97.3,68.0,99.9,76.5,75.6,54.3,Achievable target,89.4,Pass,True,None
4th Year,62.9,68.5,69.1,72.9,68.1,68.2,62.3,97.3,Cannot pass,56.5,Fail,True,None
1st Year,84.1,90.4,86.2,67.1,90.9,72.9,73.9,61.9,Achievable target,90.6,Pass,True,None
3rd Year,86.9,87.7,99.1,95.3,67.5,79.0,77.4,71.2,Achievable target,73.7,Pass,True,None
2nd Year,67.6,79.8,71.5,64.0,65.0,63.9,68.4,94.4,Cannot pass,62.7,Fail,True,None
2nd Year,98.3,84.0,82.5,60.7,88.8,75.2,73.6,65.9,Achievable target,75.6,Pass,True,None
4th Year,99.4,74.1,81.5,68.4,64.0,83.9,80.5,69.7,Achievable target,54.6,Fail,False,Overperformance
4th Year,68.5,91.9,73.6,95.2,88.0,87.0,73.6,56.6,Achievable target,57.0,Pass,True,None
1st Year,97.3,80.6,96.4,74.6,62.1,82.4,76.7,59.2,Achievable target,78.2,Pass,True,None
4th Year,84.4,86.6,68.8,77.1,62.5,66.3,77.4,89.0,Borderline,67.2,Fail,False,Ambiguity
4th Year,69.4,86.7,80.7,91.7,75.5,74.6,75.3,72.0,Achievable target,96.7,Pass,True,None
3rd Year,82.3,87.4,93.7,91.0,69.2,89.8,82.8,50.8,Achievable target,66.3,Pass,True,None
4th Year,71.1,88.2,91.8,83.1,92.0,70.1,74.3,62.9,Achievable target,76.5,Pass,True,None
2nd Year,91.4,88.6,86.9,88.6,80.8,77.0,75.7,55.9,Achievable target,70.4,Pass,True,None
4th Year,64.3,88.5,77.7,96.0,72.9,86.9,78.5,53.6,Achievable target,59.5,Pass,True,None
1st Year,68.2,72.1,77.5,79.0,70.6,71.5,63.0,94.0,Cannot pass,55.0,Fail,True,None
4th Year,71.5,77.2,83.2,86.2,78.6,81.0,70.0,60.6,Achievable target,69.0,Pass,True,None
4th Year,78.6,76.4,63.5,68.4,83.1,70.9,67.8,87.9,Borderline,62.7,Fail,True,None
3rd Year,76.8,95.5,74.9,83.4,78.6,74.5,87.4,52.8,Achievable target,55.3,Pass,True,None
3rd Year,96.3,91.4,73.7,86.7,87.8,73.9,74.0,73.6,Achievable target,89.4,Pass,True,None
4th Year,98.9,83.1,69.1,62.1,79.2,75.3,83.1,62.6,Achievable target,89.6,Pass,True,None
1st Year,91.3,78.2,73.1,67.7,64.1,76.8,88.8,64.3,Achievable target,66.7,Pass,True,None
1st Year,70.7,71.5,66.4,87.5,69.4,82.7,86.9,55.7,Achievable target,62.3,Pass,True,None
2nd Year,83.0,69.7,78.9,76.3,63.8,84.5,87.6,65.8,Achievable target,77.9,Pass,True,None
1st Year,84.4,67.1,79.7,65.8,90.7,79.8,88.6,55.2,Achievable target,84.0,Pass,True,None
3rd Year,61.2,85.1,67.7,78.8,72.8,76.4,77.3,77.4,Borderline,69.4,Fail,False,Ambiguity
2nd Year,74.6,79.0,75.3,74.3,69.0,64.6,71.9,95.8,Cannot pass,95.9,Pass,False,Underperformance
1st Year,98.0,63.4,69.9,82.3,76.6,73.0,86.2,64.3,Achievable target,86.4,Pass,True,None
2nd Year,63.9,88.5,93.1,63.3,62.5,86.5,77.2,71.3,Achievable target,85.0,Pass,True,None
1st Year,77.9,86.3,72.1,67.9,81.5,67.6,66.2,82.5,Borderline,89.4,Pass,False,Ambiguity
3rd Year,97.4,71.2,78.0,90.0,82.8,76.4,74.9,66.0,Achievable target,77.4,Pass,True,None
2nd Year,70.9,76.4,73.6,77.2,72.3,69.8,70.1,94.4,Cannot pass,78.2,Fail,True,None
4th Year,97.0,88.3,83.7,71.3,87.7,71.6,70.1,69.0,Achievable target,83.8,Pass,True,None
4th Year,76.6,70.0,67.1,78.0,77.1,62.3,62.5,98.0,Cannot pass,71.0,Fail,True,None
3rd Year,74.8,82.5,72.8,78.7,70.7,89.5,72.6,56.0,Achievable target,60.3,Pass,True,None
4th Year,99.8,83.7,93.5,71.2,89.2,87.1,79.8,67.7,Achievable target,75.7,Pass,True,None
3rd Year,88.2,65.7,64.4,81.1,74.6,71.2,73.0,51.7,Achievable target,85.7,Pass,True,None
3rd Year,96.7,94.3,73.4,70.7,63.9,89.1,78.6,65.7,Achievable target,79.1,Pass,True,None
4th Year,88.5,83.3,70.9,91.6,85.8,84.5,75.6,59.6,Achievable target,78.8,Pass,True,None
4th Year,70.7,76.6,78.1,85.3,95.2,79.8,81.5,52.2,Achievable target,76.8,Pass,True,None
2nd Year,74.5,91.2,81.2,74.9,86.0,76.6,84.8,55.0,Achievable target,51.9,Fail,False,Overperformance
3rd Year,72.2,76.1,70.9,81.6,77.5,78.8,79.4,64.4,Achievable target,96.1,Pass,True,None
3rd Year,88.8,86.3,81.6,75.5,81.0,85.5,74.8,61.9,Achievable target,82.9,Pass,True,None
3rd Year,71.6,69.5,71.9,63.2,62.9,60.6,61.3,91.5,Cannot pass,60.1,Fail,True,None
2nd Year,77.5,87.3,81.0,76.8,82.7,69.2,66.4,82.5,Borderline,62.9,Fail,False,Ambiguity
4th Year,73.9,89.3,71.0,93.3,96.6,73.8,73.7,63.3,Achievable target,65.8,Pass,True,None
2nd Year,80.4,74.2,79.3,84.8,67.4,88.1,72.5,53.3,Achievable target,55.4,Pass,True,None
3rd Year,90.3,78.0,92.3,73.7,96.7,76.3,84.5,69.4,Achievable target,75.9,Pass,True,None
3rd Year,92.5,95.0,94.1,74.4,87.1,75.3,71.0,60.2,Achievable target,64.8,Pass,True,None
2nd Year,77.9,86.9,94.9,69.8,61.8,71.3,81.9,60.5,Achievable target,81.8,Pass,True,None
3rd Year,81.8,73.6,61.5,68.5,63.6,67.6,75.6,81.9,Borderline,61.7,Fail,True,None
3rd Year,68.9,66.1,67.3,71.0,77.4,70.8,70.3,92.5,Cannot pass,87.9,Fail,True,None
1st Year,88.3,77.5,71.7,87.7,92.8,89.1,79.2,69.1,Achievable target,81.7,Pass,True,None
4th Year,98.6,70.1,94.5,64.6,62.6,79.6,76.8,61.8,Achievable target,83.8,Pass,True,None
4th Year,65.7,95.8,70.3,74.5,67.3,79.4,88.9,72.0,Achievable target,81.2,Pass,True,None
4th Year,69.5,99.3,66.7,95.4,63.5,72.8,84.9,67.0,Achievable target,88.1,Pass,True,None
2nd Year,77.6,61.1,76.9,62.5,73.4,67.5,70.8,94.7,Cannot pass,84.0,Fail,True,None
2nd Year,97.9,86.4,98.7,89.4,79.3,78.9,73.6,58.6,Achievable target,67.7,Pass,True,None
2nd Year,60.0,97.5,87.1,77.3,76.8,88.0,80.8,71.0,Achievable target,91.2,Pass,True,None
1st Year,84.2,64.8,63.9,75.2,80.6,73.5,70.3,75.2,Borderline,91.4,Pass,True,None
2nd Year,85.5,77.6,67.6,62.2,67.3,81.1,88.5,61.3,Achievable target,67.6,Pass,True,None
1st Year,78.6,62.1,75.0,72.5,70.9,61.1,60.2,96.4,Cannot pass,73.3,Fail,True,None
3rd Year,76.9,77.0,70.8,60.9,64.7,71.7,60.2,91.2,Cannot pass,70.8,Fail,True,None
1st Year,84.7,62.1,86.2,60.3,75.5,75.7,85.8,56.5,Achievable target,93.6,Pass,True,None
2nd Year,92.6,64.1,86.3,84.2,72.9,83.8,73.5,71.2,Achievable target,83.3,Pass,True,None
3rd Year,71.6,71.5,88.6,73.9,77.7,89.1,86.1,56.2,Achievable target,77.2,Pass,True,None
3rd Year,66.4,64.7,61.3,65.7,64.2,62.6,66.8,92.3,Cannot pass,73.7,Fail,True,None
3rd Year,63.3,86.6,86.0,62.1,85.0,71.9,77.2,67.4,Achievable target,92.0,Pass,True,None
3rd Year,75.7,70.0,79.2,71.2,79.1,61.7,70.5,97.2,Cannot pass,56.7,Fail,True,None
2nd Year,68.9,63.3,66.6,63.1,61.1,65.8,66.8,97.0,Cannot pass,79.4,Fail,True,None
3rd Year,84.7,77.3,89.1,79.3,86.5,80.4,83.8,65.4,Achievable target,70.5,Pass,True,None
2nd Year,74.4,82.9,78.7,99.3,65.2,74.7,79.9,71.2,Achievable target,73.1,Pass,True,None
1st Year,69.3,63.0,79.3,72.5,73.3,66.0,68.2,93.1,Cannot pass,62.4,Fail,True,None
4th Year,81.1,84.3,98.6,97.2,90.2,88.9,73.3,66.6,Achievable target,90.4,Pass,True,None
1st Year,81.7,65.3,73.9,77.8,85.8,75.9,89.4,57.0,Achievable target,59.7,Pass,True,None
3rd Year,84.5,88.8,80.2,93.2,81.9,89.0,87.8,71.5,Achievable target,92.7,Pass,True,None
2nd Year,64.1,76.8,75.1,60.5,78.1,68.0,61.7,99.6,Cannot pass,76.7,Fail,True,None
3rd Year,73.4,72.0,73.1,64.2,95.0,87.0,81.3,71.9,Achievable target,85.8,Pass,True,None
4th Year,69.0,87.4,93.9,86.1,94.3,81.3,89.8,68.2,Achievable target,71.2,Pass,True,None
2nd Year,96.7,99.5,92.1,87.9,68.9,74.1,71.1,70.9,Achievable target,86.1,Pass,True,None
1st Year,78.3,62.3,78.5,92.3,88.9,79.1,80.3,59.5,Achievable target,92.6,Pass,True,None
